the_geom,tract,left_cartodb_id,geo_id,state,county,cartodb_id,name,lsad,shape_area,shape_len,area_sqft,right_pop100_re,area_sq_mile,pop_density
0106000020E610000001000000010300000001000000130000002F49CBD58FC251C0A9E56A9A77304540A3E4DA6E82C251C0EA78331477304540C9AD16F549C251C005B82BBEA13045407847DF313CC251C0F3CC05C0783045409E62A06D35C251C07CF3A39064304540DECAC75EEFC151C0A0A613CC9830454088D32492E8C151C05D9C40BE8430454081CBED43DEC151C036FB907F663045400F950B5EF4C151C0E3D78CBB413045407A3CF99FFCC151C030ED91054C304540AED3C4C727C251C00013FDDD3B304540486BFDA02EC251C04A2B174850304540FFC1AF0452C251C0C8B1FA213630454049F3B01A4BC251C013FCA7C8213045400F2C1C5F7BC251C0BC2AA19BFD2F4540AE876D3480C251C09EFB49B4E42F45403065E2FF8EC251C01A99F2ECF22F4540BF2C89B48DC251C0BCCDD977453045402F49CBD58FC251C0A9E56A9A77304540,50200,84,1400000US25025050200,25,25,11,502,Tract,462338.7511,3925.97046,2618361.16,5231,0.093920772,55695.87955
0106000020E610000001000000010300000001000000220000005F8A15342DC551C009AF0CFFE9304540109E2A8716C551C0576F198C11314540EAD3F8DC09C551C06D7363F0303145403BEFA2B1F6C451C062D37ABE6631454007D11934F4C451C0574F95EB6D314540E2EC9028B4C451C07D2C0F5F2632454024651F0DA7C451C05F90739A053245400C148BC56FC451C0B4E419506F32454015DBADBD4FC451C0B658300F993245400063087250C451C09B67EC6B5D324540843FFCFB8CC451C048254679E6314540B8F35F8F89C451C0C2C2F59ECA3145408A6ACD5834C451C0531A4CFA7B314540AE05145CACC351C00EC3B6F292314540FBC088B48DC351C0EF8F8A1D8D314540B98E8F87BEC351C0E5C0C64B373145401C9C5930F1C351C0A75BA6B1BD304540464505A4FDC351C09AAC48F3C7304540901058C51BC451C0ADCF9104E13045405CBCA0832EC451C04B8FD89AAD304540327D1AFA27C451C034073B6D8D3045401AB0AEEE58C451C019BF9128B4304540DEF0923B6CC451C08C6DC281903045409BCCC0AA7AC451C0DC041FF7AD3045408BAF58A489C451C0E8FEE89C9F3045401EC2D5AA5DC451C0287130100430454009339A9658C451C02CDC0CC7F32F454048F82CCF83C451C0C6F7845CA92F4540469C6E48A3C451C08248E141B32F4540A1E75693A7C451C0D105EB03C92F454061D17490D7C451C0862A3543AA3045402D34E78C28C551C0A084965CC5304540EB3A9DF529C551C08925D751D53045405F8A15342DC551C009AF0CFFE9304540,40600,179,1400000US25025040600,25,25,12,406,Tract,3347346.749,11924.36139,3031813401,4612,108.7513286,42.40867729
0106000020E6100000010000000103000000010000000F000000B09AADF71BC451C09214B8E4B82F4540EC1A2CBAF5C351C0FC4E91291F3045401A323446EBC351C09015109546304540E1CED619DFC351C016264B033F304540D31FCB2BD7C351C04C2B96202330454093F70AD0B6C351C0FBC5C780EC2F454039F5380EBCC351C00AB32499D52F4540AE23A2EBC2C351C08471FDA1992F454046704DD6A8C351C0B0C82F2AA92F4540746EBF0985C351C01C70D1FF722F45407C1FB932A8C351C009A6F7915B2F4540E89C68AED3C351C09177CEC1332F4540C8DCE4B7E8C351C0F55F93196F2F454020AE80ECF5C351C05CEA256F802F4540B09AADF71BC451C09214B8E4B82F4540,40100,77,1400000US25025040100,25,25,13,401,Tract,561517.3077,3628.727777,4470886830,4494,160.3709788,28.02252647
0106000020E6100000010000000103000000010000000E000000E1CED619DFC351C016264B033F304540F7FD65DCD4C351C04B5BCE12643045404E6BDEC9A7C351C094E0CC7344304540E71736069DC351C0BEC2AE0B3F304540A27C98309AC351C06AA98BF84E304540A6F1EC0F94C351C010C51ED7863045405C7A564277C351C08C23965984304540C40DA66263C351C0A06C265470304540EB809AE788C351C0860A0C242830454081826F8099C351C08025DB300A30454039F5380EBCC351C00AB32499D52F454093F70AD0B6C351C0FBC5C780EC2F4540D31FCB2BD7C351C04C2B962023304540E1CED619DFC351C016264B033F304540,40200,192,1400000US25025040200,25,25,14,402,Tract,279665.5653,2813.556416,1567387834,4340,56.22229565,77.19357507
0106000020E6100000010000000103000000010000000F000000CC08BBD39DC551C0458C8E53742C45401FE0CF807AC551C0EA698176872C45408DC26CE866C551C058C386014B2C4540A1EA03E44BC551C0A7B46802452C4540DAFC258E3CC551C0CA25417E362C45400A5154A52DC551C07567FCFA212C454012E7401020C551C07436425E0F2C4540D3A6E07F2BC551C01C9CABCDFF2B4540E664925852C551C0035E0B45BA2B45408A3C30D461C551C0E0C88CF2CC2B4540B3ADADF36FC551C0A05729E3DF2B454074F881AE7DC551C08A1F8F4DF22B4540F50D9CA38EC551C0F6E487DA362C45401951DBDC98C551C0B5A222895E2C4540CC08BBD39DC551C0458C8E53742C4540,10500,105,1400000US25025010500,25,25,15,105,Tract,370648.8861,2685.096768,230782808.8,2891,8.278193199,349.230796
0106000020E6100000010000000103000000010000000F0000003FB991D101C451C0BE4150FF59254540F79F30F0DCC351C0DE32F0C16B254540F4DDD7BCAAC351C08261B81E85254540664AE8667FC351C03DAA550F98254540D2258D075BC351C01344BA63B1254540E2C631923DC351C092BE6CE179254540215ECF4719C351C02F54DB9E202545406C9F37514BC351C0F78BBB3D082545400BD5818E56C351C0778AF3700225454098EE24CE8AC351C0AB4F251DE5244540D9A550A390C351C003BB1C2103254540712AE17EC0C351C07C46DEAAEB2445409D2E410DDFC351C0F4895AD1E624454065D1D13B15C451C0DA1BB189CC2445403FB991D101C451C0BE4150FF59254540,100601,19,1400000US25025100601,25,25,16,1006.01,Tract,1006540.55,4570.157814,5947564.59,5154,0.213339499,24158.67681
0106000020E6100000010000000103000000010000000F000000867FCFD72CC551C02A92C615172D4540713E62BCE6C451C0756CC8073D2D4540E1DC69FCC2C451C0BBFEC797502D4540FCD2928C9CC451C0ECE3C455652D4540A206EF8E8CC451C055658C63242D45406E258C9C85C451C0A93C478D092D45407FC3AF5582C451C09CD5753BFB2C4540754A9B1DA9C451C09899328AE52C4540D426EF71A6C451C04AC9203CDA2C4540F1F3CF5FE8C451C0B9DDB0F9B82C4540B792E998F3C451C0DF80F241CF2C454026FAB8A816C551C0E5629BADBC2C45404A7A1E6D1CC551C0646CEFC2D62C4540B1EED59123C551C0569F6D88F12C4540867FCFD72CC551C02A92C615172D4540,10702,174,1400000US25025010702,25,25,17,107.02,Tract,547510.3374,3196.639568,3228780.12,2400,0.115816537,20722.42937
0106000020E61000000100000001030000000100000019000000302251F696C951C0EEC2519B382B4540999491B586C951C0B20D3C15702B4540E2B9A2CD71C951C0A2282824992B454038E27B2766C951C04645E313B22B454093FAB67F65C951C08BCAEC45B42B4540F62F48895DC951C025FDE973B52B45402B3DE9D154C951C02C8FB8E4B82B4540A9666CCD56C951C040C7E847C32B4540EE7956293DC951C0641758E4D72B4540E265A6B228C951C05C9FBD31042C4540E9B27C9411C951C0AC7423624A2C454096D5798CF2C851C09BADE6012C2C45403AC0BF05D9C851C0FDAA1D520C2C454084F1C01BD2C851C0A3FDF620042C4540DB701762F5C851C0579E573ECB2B45400AEFC3060BC951C02DAD872EA82B4540BA525E7F12C951C0D77F9C18922B454053A5F7C43AC951C0076944D7852B4540DFBA230F44C951C093D06DE1792B4540F21829965BC951C0A3461A4B582B4540DED8B19E5AC951C09493A94C312B45409EE65FCE6CC951C0E7550167292B4540FEBF325184C951C07FE0A6902B2B4540902BA4A99EC951C0F9227FA31D2B4540302251F696C951C0EEC2519B382B4540,504,168,1400000US25025000504,25,25,18,5.04,Tract,612937.0859,4237.300379,3586159.72,4985,0.128635764,38752.83072
0106000020E610000001000000010300000001000000170000005904D124B1C051C02814FB57563645400B761B6492C051C0190ED04884364540130CC8073DC051C0BA2744300E364540741F548CF3BF51C0986A1213D43645407F028EAED2BF51C0F3A8DEAD2C374540C10A094E7DBF51C0380B56BC913745407E3A47205EBF51C099E6AE0CAA37454059696612F5BE51C0D908B2BB4037454000E24D603ABF51C0C40F0059883645404EECC69C67BF51C06C41EFFD0D3645405C190D6C95BF51C0175F232D953545401ED66BD102C051C01162298F6E34454076E42D910BC051C0D6F8716A673445402FBA244223C051C0B20068588C3445405AC37C073FC051C0E0E50D2E1D354540B03E5C5837C051C00F0A8DD6513545404457C7B94DC051C057F4D30B3E354540ED65124889C051C010CAD7304335454043E1F19881C051C0E58A533A5835454099CF253960C051C0171546B3B23545404A34B6D5ACC051C010692E17F13545407DDC6932E3C051C00AC7CCAD103645405904D124B1C051C02814FB5756364540,170400,70,1400000US25025170400,25,25,19,1704,Tract,4841378.348,12104.79687,25166190.41,5379,0.90271276,5958.706067
0106000020E6100000010000000103000000010000000D00000070C159BA82C251C0D5CC9670E83145404B880AEF72C251C09680F0D6F93145408ACBEB504DC251C0B47AB1FA233245406584352218C251C083E883BF5F324540FFAC50DA1BC251C00BE5691151324540AEB5363811C251C001EB45223432454051D4EAAC16C251C06C79C8AF1F3245409A3F917C25C251C09B916EC0E73145407445DFA128C251C0735A9AB2D33145400DFE26DC2BC251C0FC9CA961BF31454064D4BA4736C251C0912BA62380314540D3E1CB608CC251C0735E0CC4B231454070C159BA82C251C0D5CC9670E8314540,160200,7,1400000US25025160200,25,25,20,1602,Tract,423583.2171,2884.698462,2391035.62,4043,0.085766591,47139.56735
